jobid,title,employer,location,salary,description,tags,url,date,weeknum
116565,Spark Java or Python Developer - Machine Learning Expert,Faimdata,"Montréal, QC, Canada","$125,000 - 250,000

                                / 
Provides Equity",Faimdata is looking to attract engineers that are comfortable identifying and making contrarian…,"[""java"",""python"",""scala"",""apache-spark"",""nlp""]",/jobs/116565/spark-java-or-python-developer-machine-learning-faimdata,2016-07-25,30
111683,Cloud Software Developer,InvestCloud,"Los Angeles, CA","$80,000 - 100,000","Position Overview
InvestCloud is looking for a bright and talented developer for our growing Cloud…","[""java-ee"",""java"",""relational-database"",""java-persistence-api""]",/jobs/111683/cloud-software-developer-investcloud,2016-07-25,30
121603,Mobile SLAM Platform R&D,Geomagical Labs,"Mountain View, CA",,"Geomagical Labs is an early-stage technology startup in the SF Bay Area, applying novel computer vision…","[""imu"",""robotics"",""vision"",""sfm"",""slam""]",/jobs/121603/mobile-slam-platform-r-d-geomagical-labs,2016-07-25,30
107520,Software Design Engineer in Test,Concur,"Bellevue, WA",,"Come join our effort to provide The Perfect Trip and Effortless Expense Reporting!
What’s in it for…","[""java"",""restful-architecture"",""frameworks""]",/jobs/107520/software-design-engineer-in-test-concur,2016-07-25,30
117091,Backend Software Engineer,Restless Bandit,"San Francisco, CA","$120,000 - 175,000

                                / 
Provides Equity","As a Backend Software Engineer,  you will collaborate with product managers,data scientists, and the…","[""python"",""go"",""c"",""c++"",""java""]",/jobs/117091/backend-software-engineer-restless-bandit,2016-07-25,30
121602,"Software Engineer, Virtual Reality, YouTube",Google,"San Bruno, CA",,Google's software engineers develop the next-generation technologies that change how billions of users…,"[""virtual"",""3d"",""opengl"",""java"",""c++""]",/jobs/121602/software-engineer-virtual-reality-youtube-google,2016-07-25,30
121598,iOS Developer,Aspiration,"Marina del Rey, CA","$120,000 - 150,000

                                / 
Provides Equity","Job brief 
We are looking for an iOS Developer who possesses a passion for pushing mobile technologies…","[""ios"",""objective-c"",""swift"",""oauth""]",/jobs/121598/ios-developer-aspiration,2016-07-25,30
121597,Fullstack Developer,Aspiration,"Marina del Rey, CA","$130,000 - 160,000

                                / 
Provides Equity","Job Description
Work closely with our product and design team to deliver high quality and robust…","[""java"",""postgresql"",""scala"",""angularjs"",""javascript""]",/jobs/121597/fullstack-developer-aspiration,2016-07-25,30
117090,Software engineer for streaming data system,Alluvium,"Brooklyn, NY",Provides Equity,"Alluvium is currently seeking Software Engineers to join our team, and work directly with our world…","[""scala"",""java"",""deployment"",""build"",""architecture""]",/jobs/117090/software-engineer-for-streaming-data-system-alluvium,2016-07-25,30
96577,Android // React Native - Mobile Dev,CompanyCam,"Lincoln, NE","$60,000 - 75,000

                                / 
Provides Equity",*** If you happen to be an expert in iOS or Android camera functionality and image manipulation (drawing…,"[""android"",""react-native"",""ruby-on-rails"",""mobile"",""javascript""]",/jobs/96577/android-react-native-mobile-dev-companycam,2016-07-25,30
