jobid,title,employer,location,salary,description,tags,url,date,weeknum,equity,currency,salary_low,salary_high,country,state,city
122343,Enterprise Front-end Web App Developer with AngularJS,IQX Business Solutions,"Milsons Point, Australia","$90,000 - 120,000","
Design innovative and engaging solutions to enterprise business process challenges
Utilize JavaScript…","[""javascript"",""angularjs"",""c#"",""asp.net-mvc""]",/jobs/122343/enterprise-front-end-web-app-developer-with-iqx-business-solutions,2016-08-05,31,False,$,"90,000","120,000",Australia,,Milsons Point
122342,Full Stack Web Engineer,Nexsan,"Campbell, CA",,"About NexsanNexsan is a global leader in storage, back up and data management solutions that are focused…","[""php"",""javascript"",""aws"",""lamp"",""rest""]",/jobs/122342/full-stack-web-engineer-nexsan,2016-08-05,31,False,,0,0,US,CA,Campbell
122340,Java Instructor,The Iron Yard,"Columbia, MD",,"If you live and breathe code as your craft, find joy in helping other people learn, and want ample time…","[""java"",""scala"",""javascript"",""angularjs""]",/jobs/122340/java-instructor-the-iron-yard,2016-08-05,31,False,,0,0,US,MD,Columbia
122338,(Remote) Business Intelligence Developer,Aptera,"Indianapolis, IN",,Aptera’s Business Intelligence and Analytics team is seeking an experienced Business Intelligence/ETL…,"[""ssas"",""ssis"",""reporting-services"",""data-warehouse"",""etl""]",/jobs/122338/remote-business-intelligence-developer-aptera,2016-08-05,31,False,,0,0,US,IN,Indianapolis
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
122365,Senior Frontend Engineer,VONQ,"Amsterdam, Netherlands",,Do you want to get your hands dirty in our quest to build the best recruitment marketing software in the…,"[""frontend"",""flux"",""angular2"",""reactjs""]",/jobs/122365/senior-frontend-engineer-vonq,2016-08-05,31,False,,0,0,Netherlands,,Amsterdam
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
122363,DATA ARCHITECTE H/F,Societe Generale,"Courbevoie, France",,"Au sein du groupe Société Générale, vous rejoignez la direction des systèmes d'information de Global…","[""3""]",/jobs/122363/data-architecte-h-f-societe-generale,2016-08-05,31,False,,0,0,France,,Courbevoie
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
122381,Backend Server - Software Development Team Lead (Fuhu),Mattel,"El Segundo, CA",,"At Mattel, our vision is ""Creating the Future of Play"". We strive to achieve this vision primarily…",[],/jobs/122381/backend-server-software-development-team-lead-mattel,2016-08-05,31,False,,0,0,US,CA,El Segundo
122209,Chief Technology Officer or Lead Developer Growing into CTO,Lignar Labs,Singapore,Provides Equity,We are looking for a CTO or Lead Engineer that is ambitious enough to spearhead new tech businesses in…,"[""web-services"",""api-design"",""security"",""artificial-intelligence"",""machine-learning""]",/jobs/122209/chief-technology-officer-or-lead-developer-lignar-labs,2016-08-05,31,True,,0,0,,,Singapore
